rank,confirmation_mode,min_atr,max_spread,context_ema_period,execution_ema_period,total_trades,win_rate,profit_factor,max_drawdown,net_pnl
1,relaxed,0.75,0.50,3,3,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
2,relaxed,0.75,0.75,3,3,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
3,relaxed,0.75,1.00,3,3,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
4,relaxed,0.75,0.50,3,5,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
5,relaxed,0.75,0.75,3,5,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
6,relaxed,0.75,1.00,3,5,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
7,relaxed,0.75,0.50,3,10,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
8,relaxed,0.75,0.75,3,10,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
9,relaxed,0.75,1.00,3,10,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
10,relaxed,0.75,0.50,5,3,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
11,relaxed,0.75,0.75,5,3,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
12,relaxed,0.75,1.00,5,3,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
13,relaxed,0.75,0.50,5,5,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
14,relaxed,0.75,0.75,5,5,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
15,relaxed,0.75,1.00,5,5,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
16,relaxed,0.75,0.50,5,10,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
17,relaxed,0.75,0.75,5,10,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
18,relaxed,0.75,1.00,5,10,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
19,relaxed,0.75,0.50,10,3,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
20,relaxed,0.75,0.75,10,3,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
21,relaxed,0.75,1.00,10,3,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
