cohort,trades,win_rate,profit_factor,average_r,net_pnl,max_drawdown,full_loss_pct,breakeven_pct,partial_lock_pct,full_tp_pct
0.00-0.10 x late,143,0.2937062937062937062937062937,1.077255930309341189617514119,0.001132587546092989509005903380,13.036607142857142857142861,42.497321428571428571428572,0.2447552447552447552447552448,0.4615384615384615384615384615,0.1468531468531468531468531469,0.1468531468531468531468531469
0.00-0.10 x mid,161,0.3167701863354037267080745342,1.577489701241264324883208561,0.05504878201283580006307043578,76.200178571428571428571430,34.104464285714285714285716,0.2298136645962732919254658385,0.4534161490683229813664596273,0.1552795031055900621118012422,0.1614906832298136645962732919
0.00-0.10 x open,160,0.4,2.633354252488843117061448676,0.1733917422637055648840147163,217.506785714285714285714285,28.291071428571428571428571,0.15625,0.44375,0.1875,0.2125
0.10-0.25 x late,287,0.2996515679442508710801393728,0.9396138936610721994625787448,-0.04271205770207601253787632564,-19.583214285714285714285713,78.045178571428571428571433,0.2891986062717770034843205575,0.4111498257839721254355400697,0.1602787456445993031358885017,0.1393728222996515679442508711
0.10-0.25 x mid,274,0.3686131386861313868613138686,1.785370439294589002857111549,0.07602007730269840224066278036,204.983928571428571428571421,32.632142857142857142857142,0.2627737226277372262773722628,0.3686131386861313868613138686,0.1715328467153284671532846715,0.1970802919708029197080291971
0.10-0.25 x open,238,0.4411764705882352941176470588,1.899922837360620637877818879,0.1670755255967276262856445259,231.170892857142857142857145,64.622142857142857142857143,0.1806722689075630252100840336,0.3781512605042016806722689076,0.2436974789915966386554621849,0.1974789915966386554621848739
0.25-0.50 x late,505,0.3049504950495049504950495050,1.062631662686979516122666466,-0.001804940697259318819051640384,36.271964285714285714285720,101.771785714285714285714285,0.2851485148514851485148514851,0.4099009900990099009900990099,0.1544554455445544554455445545,0.1504950495049504950495049505
0.25-0.50 x mid,526,0.3536121673003802281368821293,1.488703197194694607212643642,0.04861506668738489708763200036,289.581428571428571428571427,59.020000000000000000000000,0.2509505703422053231939163498,0.3954372623574144486692015209,0.1825095057034220532319391635,0.1711026615969581749049429658
0.25-0.50 x open,417,0.3189448441247002398081534772,1.428171411452848687316169781,0.05206832082864202388238723055,168.448749999999999999999995,51.356250000000000000000001,0.2062350119904076738609112710,0.4748201438848920863309352518,0.1630695443645083932853717026,0.1558752997601918465227817746
0.50-0.75 x late,405,0.2888888888888888888888888889,1.159096558810314730383672031,-0.01595117828674049961096677117,61.714464285714285714285716,53.766785714285714285714288,0.2518518518518518518518518519,0.4592592592592592592592592593,0.1580246913580246913580246914,0.1308641975308641975308641975
0.50-0.75 x mid,452,0.3473451327433628318584070796,1.109952716927948775946966409,0.02697368230300290820632672162,54.165535714285714285714289,73.401964285714285714285710,0.2566371681415929203539823009,0.3960176991150442477876106195,0.1924778761061946902654867257,0.1548672566371681415929203540
0.50-0.75 x open,332,0.3253012048192771084337349398,1.103970062442161369543378734,0.001659114190580301510597136511,39.402499999999999999999999,39.794999999999999999999998,0.2590361445783132530120481928,0.4156626506024096385542168675,0.1807228915662650602409638554,0.1445783132530120481927710843
0.75+ x late,609,0.3415435139573070607553366174,1.304325480383157789787733002,0.02670323212944627223714932386,200.583749999999999999999994,64.676071428571428571428570,0.2577996715927750410509031199,0.4006568144499178981937602627,0.1871921182266009852216748768,0.1543513957307060755336617406
0.75+ x mid,636,0.3537735849056603773584905660,1.077775200473819645322547043,0.01667312376871423045093296851,54.965178571428571428571414,123.851250000000000000000000,0.2751572327044025157232704403,0.3710691823899371069182389937,0.2044025157232704402515723270,0.1493710691823899371069182390
0.75+ x open,538,0.3382899628252788104089219331,1.188699382458502087285652698,0.009566212808612341881645419184,116.944285714285714285714281,59.005178571428571428571431,0.2620817843866171003717472119,0.4014869888475836431226765799,0.1877323420074349442379182156,0.1486988847583643122676579926
