entry_hour_utc,exit_hour_utc,trades,win_rate,profit_factor,max_drawdown,net_pnl,average_monthly_pnl,worst_monthly_pnl,best_monthly_pnl,positive_months,total_months
6,22,1339,0.4361463778939507094846900672,1.297428432268232057165739740,700.4925000000000000000001,3064.986142857142857142857148,41.98611154598825831702544038,-258.166357142857142857142856,806.059500000000000000000001,44,73
6,21,1182,0.4060913705583756345177664975,1.223541457735376512448322636,829.8593571428571428571429,2325.565142857142857142857156,31.85705675146771037181996104,-105.243357142857142857142856,469.764357142857142857142858,41,73
8,22,1358,0.4138438880706921944035346097,1.179165475195663077284231083,699.13000000000000000000007,1935.519714285714285714285722,26.51396868884540117416829756,-126.037214285714285714285714,841.717928571428571428571428,38,73
7,22,1341,0.4175988068605518269947800149,1.177187563657207248155560801,562.6863571428571428571430,1874.240714285714285714285715,25.67453033268101761252446185,-169.289142857142857142857143,955.331928571428571428571428,35,73
12,21,1196,0.4071906354515050167224080268,1.170281321112151708356900749,602.09507142857142857142763,1706.199571428571428571428560,23.37259686888454011741682959,-90.928285714285714285714286,401.617357142857142857142858,33,73
5,22,1321,0.4367903103709311127933383800,1.149233922139979154282682125,676.4997142857142857142857,1633.442357142857142857142860,22.37592270058708414872798438,-170.491500000000000000000000,409.859357142857142857142858,37,73
5,21,1134,0.4126984126984126984126984127,1.144953882685025754144817618,635.4561428571428571428570,1506.347071428571428571428582,20.63489138943248532289628195,-227.007928571428571428571429,362.111000000000000000000000,39,73
10,21,1201,0.4029975020815986677768526228,1.142013018601401357416797399,669.5300714285714285714285,1458.339285714285714285714282,19.97725048923679060665362030,-263.953214285714285714285714,366.099642857142857142857142,40,73
12,22,1347,0.4268745360059391239792130661,1.137077329636161654594206818,697.83757142857142857142813,1390.084642857142857142857148,19.04225538160469667318982395,-300.977642857142857142857143,431.928571428571428571428572,36,73
10,22,1358,0.4263622974963181148748159057,1.129312318740520146490531369,650.8675000000000000000000,1302.387214285714285714285712,17.84092074363992172211350290,-123.224142857142857142857142,441.962214285714285714285714,38,73
13,22,1355,0.4420664206642066420664206642,1.129120817672079152444066208,653.00671428571428571428586,1255.981785714285714285714288,17.20522994129158512720156559,-117.010928571428571428571429,592.542642857142857142857143,40,73
6,19,1526,0.4633027522935779816513761468,1.125704968922435547608009218,548.5775000000000000000001,1388.848000000000000000000006,19.02531506849315068493150693,-211.401642857142857142857142,578.854071428571428571428572,37,73
8,21,1205,0.3850622406639004149377593361,1.122988919439285253665835193,643.4685714285714285714285,1337.489142857142857142857146,18.32176908023483365949119378,-139.072857142857142857142857,415.002214285714285714285715,37,73
6,15,1547,0.4589528118939883645765998707,1.115982020264116143471414284,499.4272857142857142857144,1130.563928571428571428571433,15.48717710371819960861056758,-158.271285714285714285714286,482.156071428571428571428572,39,73
7,21,1203,0.3931837073981712385702410640,1.110934520744308237424136290,676.9492857142857142857144,1187.746571428571428571428573,16.27050097847358121330724073,-112.834214285714285714285714,471.539642857142857142857142,33,73
6,17,1544,0.4481865284974093264248704663,1.102793000159012395005288994,542.7025000000000000000000,1111.287642857142857142857145,15.22311839530332681017612527,-199.298928571428571428571429,543.478071428571428571428572,37,73
13,21,1174,0.4045996592844974446337308348,1.101664307385904619304113457,697.4232142857142857142857,1047.260499999999999999999995,14.34603424657534246575342459,-550.125214285714285714285716,360.647142857142857142857143,36,73
12,17,1540,0.4525974025974025974025974026,1.086624886211370334379525129,568.23792857142857142857096,782.452000000000000000000004,10.71852054794520547945205485,-124.370571428571428571428571,456.110714285714285714285715,36,73
13,19,1525,0.4865573770491803278688524590,1.085553643029936663035424074,596.3710000000000000000000,757.338857142857142857142856,10.37450489236790606653620351,-124.206428571428571428571429,217.275428571428571428571429,37,73
8,17,1543,0.4497731691510045366169799093,1.081813833969655429206204005,531.5303571428571428571427,836.456071428571428571428582,11.45830234833659491193737784,-112.074357142857142857142857,389.601500000000000000000000,33,73
8,15,1547,0.4511958629605688429217840983,1.068124579988181741761507414,525.9765000000000000000000,628.758857142857142857142867,8.613135029354207436399217356,-160.697285714285714285714286,313.770142857142857142857143,36,73
8,19,1531,0.4441541476159372958850424559,1.063944063448357067193017132,566.13771428571428571428610,691.860000000000000000000013,9.477534246575342465753424836,-191.972785714285714285714286,266.137285714285714285714286,36,73
5,15,1547,0.4583063994828700711053652230,1.061180515866416088335110852,670.94100000000000000000022,609.807142857142857142857141,8.353522504892367906066536178,-205.406214285714285714285715,267.4050,36,73
12,19,1526,0.4587155963302752293577981651,1.061069108880643491256154050,624.12028571428571428571389,599.809428571428571428571429,8.216567514677103718199608616,-233.765142857142857142857143,351.041214285714285714285715,32,73
5,19,1527,0.4656188605108055009823182711,1.057339217912305860374842359,735.2644285714285714285714,656.423142857142857142857144,8.992097847358121330724070466,-244.631714285714285714285715,262.077500000000000000000001,35,73
5,17,1544,0.4734455958549222797927461140,1.054240384684511185234496374,696.04499999999999999999987,600.345928571428571428571429,8.223916829745596868884540123,-243.602714285714285714285715,312.918000000000000000000001,41,73
7,19,1528,0.4476439790575916230366492147,1.042511669631460639564867022,805.86435714285714285714303,466.322571428571428571428576,6.387980430528375733855185973,-228.240142857142857142857143,278.487642857142857142857142,39,73
10,17,1543,0.4594944912508101101749837978,1.041488883303776743798434770,455.5424285714285714285714,403.967714285714285714285716,5.533804305283757338551859123,-127.365142857142857142857142,165.556714285714285714285714,38,73
10,19,1533,0.4540117416829745596868884540,1.033843125714441168491387613,559.0133571428571428571428,350.371428571428571428571427,4.799608610567514677103718178,-167.550000000000000000000000,118.835428571428571428571428,40,73
10,15,1547,0.4583063994828700711053652230,1.028155567818265279150936804,583.8277857142857142857143,245.963285714285714285714289,3.369360078277886497064579301,-168.012071428571428571428571,164.319642857142857142857143,36,73
7,17,1544,0.4397668393782383419689119171,1.017708680058643918507832127,952.61364285714285714285721,189.126142857142857142857145,2.590769080234833659491193767,-241.970500000000000000000000,364.299500000000000000000000,35,73
