rank_by_length,bars,start_timestamp,end_timestamp,duration_hours
1,276,2025-01-02T01:00:00+00:00,2025-01-02T23:55:00+00:00,22.92
2,276,2025-01-03T01:00:00+00:00,2025-01-03T23:55:00+00:00,22.92
3,276,2025-01-06T01:00:00+00:00,2025-01-06T23:55:00+00:00,22.92
4,276,2025-01-08T01:00:00+00:00,2025-01-08T23:55:00+00:00,22.92
5,276,2025-01-09T01:00:00+00:00,2025-01-09T23:55:00+00:00,22.92
6,276,2025-01-10T01:00:00+00:00,2025-01-10T23:55:00+00:00,22.92
7,276,2025-01-13T01:00:00+00:00,2025-01-13T23:55:00+00:00,22.92
8,276,2025-01-14T01:00:00+00:00,2025-01-14T23:55:00+00:00,22.92
9,276,2025-01-15T01:00:00+00:00,2025-01-15T23:55:00+00:00,22.92
10,276,2025-01-16T01:00:00+00:00,2025-01-16T23:55:00+00:00,22.92
11,276,2025-01-17T01:00:00+00:00,2025-01-17T23:55:00+00:00,22.92
12,276,2025-01-21T01:00:00+00:00,2025-01-21T23:55:00+00:00,22.92
13,276,2025-01-22T01:00:00+00:00,2025-01-22T23:55:00+00:00,22.92
14,276,2025-01-23T01:00:00+00:00,2025-01-23T23:55:00+00:00,22.92
15,276,2025-01-24T01:00:00+00:00,2025-01-24T23:55:00+00:00,22.92
16,276,2025-01-27T01:00:00+00:00,2025-01-27T23:55:00+00:00,22.92
17,276,2025-01-28T01:00:00+00:00,2025-01-28T23:55:00+00:00,22.92
18,276,2025-01-29T01:00:00+00:00,2025-01-29T23:55:00+00:00,22.92
19,276,2025-01-30T01:00:00+00:00,2025-01-30T23:55:00+00:00,22.92
20,276,2025-01-31T01:00:00+00:00,2025-01-31T23:55:00+00:00,22.92
21,276,2025-02-03T01:00:00+00:00,2025-02-03T23:55:00+00:00,22.92
22,276,2025-02-04T01:00:00+00:00,2025-02-04T23:55:00+00:00,22.92
23,276,2025-02-05T01:00:00+00:00,2025-02-05T23:55:00+00:00,22.92
24,276,2025-02-06T01:00:00+00:00,2025-02-06T23:55:00+00:00,22.92
25,276,2025-02-07T01:00:00+00:00,2025-02-07T23:55:00+00:00,22.92
26,276,2025-02-10T01:00:00+00:00,2025-02-10T23:55:00+00:00,22.92
27,276,2025-02-11T01:00:00+00:00,2025-02-11T23:55:00+00:00,22.92
28,276,2025-02-12T01:00:00+00:00,2025-02-12T23:55:00+00:00,22.92
29,276,2025-02-13T01:00:00+00:00,2025-02-13T23:55:00+00:00,22.92
30,276,2025-02-14T01:00:00+00:00,2025-02-14T23:55:00+00:00,22.92
31,276,2025-02-18T01:00:00+00:00,2025-02-18T23:55:00+00:00,22.92
32,276,2025-02-19T01:00:00+00:00,2025-02-19T23:55:00+00:00,22.92
33,276,2025-02-20T01:00:00+00:00,2025-02-20T23:55:00+00:00,22.92
34,276,2025-02-21T01:00:00+00:00,2025-02-21T23:55:00+00:00,22.92
35,276,2025-02-24T01:00:00+00:00,2025-02-24T23:55:00+00:00,22.92
36,276,2025-02-25T01:00:00+00:00,2025-02-25T23:55:00+00:00,22.92
37,276,2025-02-26T01:00:00+00:00,2025-02-26T23:55:00+00:00,22.92
