gap_index,previous_timestamp,next_timestamp,missing_bar_count,gap_duration_minutes,first_missing_timestamp,last_missing_timestamp
1,2025-01-02T23:55:00+00:00,2025-01-03T01:00:00+00:00,12,65,2025-01-03T00:00:00+00:00,2025-01-03T00:55:00+00:00
2,2025-01-03T23:55:00+00:00,2025-01-06T01:00:00+00:00,588,2945,2025-01-04T00:00:00+00:00,2025-01-06T00:55:00+00:00
3,2025-01-06T23:55:00+00:00,2025-01-07T01:00:00+00:00,12,65,2025-01-07T00:00:00+00:00,2025-01-07T00:55:00+00:00
4,2025-01-07T04:00:00+00:00,2025-01-07T07:00:00+00:00,35,180,2025-01-07T04:05:00+00:00,2025-01-07T06:55:00+00:00
5,2025-01-07T10:55:00+00:00,2025-01-07T11:50:00+00:00,10,55,2025-01-07T11:00:00+00:00,2025-01-07T11:45:00+00:00
6,2025-01-07T23:55:00+00:00,2025-01-08T01:00:00+00:00,12,65,2025-01-08T00:00:00+00:00,2025-01-08T00:55:00+00:00
7,2025-01-08T23:55:00+00:00,2025-01-09T01:00:00+00:00,12,65,2025-01-09T00:00:00+00:00,2025-01-09T00:55:00+00:00
8,2025-01-09T23:55:00+00:00,2025-01-10T01:00:00+00:00,12,65,2025-01-10T00:00:00+00:00,2025-01-10T00:55:00+00:00
9,2025-01-10T23:55:00+00:00,2025-01-13T01:00:00+00:00,588,2945,2025-01-11T00:00:00+00:00,2025-01-13T00:55:00+00:00
10,2025-01-13T23:55:00+00:00,2025-01-14T01:00:00+00:00,12,65,2025-01-14T00:00:00+00:00,2025-01-14T00:55:00+00:00
11,2025-01-14T23:55:00+00:00,2025-01-15T01:00:00+00:00,12,65,2025-01-15T00:00:00+00:00,2025-01-15T00:55:00+00:00
12,2025-01-15T23:55:00+00:00,2025-01-16T01:00:00+00:00,12,65,2025-01-16T00:00:00+00:00,2025-01-16T00:55:00+00:00
13,2025-01-16T23:55:00+00:00,2025-01-17T01:00:00+00:00,12,65,2025-01-17T00:00:00+00:00,2025-01-17T00:55:00+00:00
14,2025-01-17T23:55:00+00:00,2025-01-20T01:00:00+00:00,588,2945,2025-01-18T00:00:00+00:00,2025-01-20T00:55:00+00:00
15,2025-01-20T21:25:00+00:00,2025-01-21T01:00:00+00:00,42,215,2025-01-20T21:30:00+00:00,2025-01-21T00:55:00+00:00
16,2025-01-21T23:55:00+00:00,2025-01-22T01:00:00+00:00,12,65,2025-01-22T00:00:00+00:00,2025-01-22T00:55:00+00:00
17,2025-01-22T23:55:00+00:00,2025-01-23T01:00:00+00:00,12,65,2025-01-23T00:00:00+00:00,2025-01-23T00:55:00+00:00
18,2025-01-23T23:55:00+00:00,2025-01-24T01:00:00+00:00,12,65,2025-01-24T00:00:00+00:00,2025-01-24T00:55:00+00:00
19,2025-01-24T23:55:00+00:00,2025-01-27T01:00:00+00:00,588,2945,2025-01-25T00:00:00+00:00,2025-01-27T00:55:00+00:00
20,2025-01-27T23:55:00+00:00,2025-01-28T01:00:00+00:00,12,65,2025-01-28T00:00:00+00:00,2025-01-28T00:55:00+00:00
21,2025-01-28T23:55:00+00:00,2025-01-29T01:00:00+00:00,12,65,2025-01-29T00:00:00+00:00,2025-01-29T00:55:00+00:00
22,2025-01-29T23:55:00+00:00,2025-01-30T01:00:00+00:00,12,65,2025-01-30T00:00:00+00:00,2025-01-30T00:55:00+00:00
23,2025-01-30T23:55:00+00:00,2025-01-31T01:00:00+00:00,12,65,2025-01-31T00:00:00+00:00,2025-01-31T00:55:00+00:00
24,2025-01-31T23:55:00+00:00,2025-02-03T01:00:00+00:00,588,2945,2025-02-01T00:00:00+00:00,2025-02-03T00:55:00+00:00
25,2025-02-03T23:55:00+00:00,2025-02-04T01:00:00+00:00,12,65,2025-02-04T00:00:00+00:00,2025-02-04T00:55:00+00:00
26,2025-02-04T23:55:00+00:00,2025-02-05T01:00:00+00:00,12,65,2025-02-05T00:00:00+00:00,2025-02-05T00:55:00+00:00
27,2025-02-05T23:55:00+00:00,2025-02-06T01:00:00+00:00,12,65,2025-02-06T00:00:00+00:00,2025-02-06T00:55:00+00:00
28,2025-02-06T23:55:00+00:00,2025-02-07T01:00:00+00:00,12,65,2025-02-07T00:00:00+00:00,2025-02-07T00:55:00+00:00
29,2025-02-07T23:55:00+00:00,2025-02-10T01:00:00+00:00,588,2945,2025-02-08T00:00:00+00:00,2025-02-10T00:55:00+00:00
30,2025-02-10T23:55:00+00:00,2025-02-11T01:00:00+00:00,12,65,2025-02-11T00:00:00+00:00,2025-02-11T00:55:00+00:00
31,2025-02-11T23:55:00+00:00,2025-02-12T01:00:00+00:00,12,65,2025-02-12T00:00:00+00:00,2025-02-12T00:55:00+00:00
